Player2,20,0.125,-3,1,1,1,0,0,0
MagicBookFire,1.5,0.3,-2,1,1,1,0,0,0
Cube,20,0,-4.5,9,1,1,0,0,0
Cube,-5,0,0,1,1,10,0,0,0
Fence,1,0.5,1,1,1,1,0,0,0
Cube,15,0,0,1,1,10,0,0,0
Fence,3,0.5,1,1,1,1,0,0,0
Fence,-3,0.5,1,1,1,1,0,0,0
ScoreItem,20,0.125,2,0.8,0.8,0.8,0,0,0
Fence,-1,0.5,1,1,1,1,0,0,0
MagicBookIceFog,19,0.3,-2,1,1,1,0,0,0
Fence,-4,0.5,1,1,1,1,0,0,0
Cube,0,0,4.5,9,1,1,0,0,0
Fence,4,0.5,1,1,1,1,0,0,0
Cube,25,0,0,1,1,10,0,0,0
Cube,5,0,0,1,1,10,0,0,0
Fence,-2,0.5,1,1,1,1,0,0,0
Enemy2,21,0.125,1,1,1,1,0,0,0
Plane,20,0,0,10,0.1,10,0,0,0
Cube,20,0,4.5,9,1,1,0,0,0
Enemy1,0,0.5,1,1,1,1,0,0,0
Cube,0,0,-4.5,9,1,1,0,0,0
Plane,0,0,0,10,0.1,10,0,0,0
Fence,2,0.5,1,1,1,1,0,0,0
Player1,0,0.125,-3,1,1,1,0,0,0
Goal,0,0.5,3,1,1,1,0,0,0
end,,,,,,,,,
