Cube,4,0.5,2,1,1,1,0,0,0
Cube,4,0.5,-1,1,1,1,0,0,0
Cube,-2,0.5,-3,1,1,1,0,0,0
Cube,2,0.5,-3,1,1,1,0,0,0
Cube,-2,0.5,2,1,1,1,0,0,0
Fence,2,0.5,1,1,1,1,0,90,0
MagicBookIceFog,18,0.3,-1,1,1,1,0,0,0
Player1,18,0.3,-2.8,1,1,1,0,0,0
Player2,0,0.3,0,1,1,1,0,0,0
Cube,15.5,0,-2,1,1,3,0,0,0
Cube,20,0,-2,1,1,3,0,0,0
Cube,20,0,-4,10,1,1,0,0,0
Cube,20,0,0,10,1,1,0,0,0
Plane,20,0,0,10,0.1,10,0,0,0
Goal,3,0.5,1,1,1,1,0,0,0
Fence,3,0.5,-1,1,1,1,0,0,0
Fence,4,0.5,0,1,1,1,0,90,0
Fence,4,0.5,1,1,1,1,0,90,0
Fence,3,0.5,2,1,1,1,0,0,0
Gimmick31,2,0,0,1,1,1,0,0,0
Fence,1,0.5,2,1,1,1,0,0,0
Fence,0,0.5,2,1,1,1,0,0,0
Fence,-1,0.5,2,1,1,1,0,0,0
Fence,-2,0.5,1,1,1,1,0,90,0
Fence,-2,0.5,0,1,1,1,0,90,0
Fence,-2,0.5,-1,1,1,1,0,90,0
Fence,-2,0.5,-2,1,1,1,0,90,0
Fence,-1,0.5,-3,1,1,1,0,0,0
Fence,2,0.5,2,1,1,1,0,0,0
Fence,2,0.5,-1,1,1,1,0,90,0
Fence,2,0.5,-2,1,1,1,0,90,0
Fence,2,0.5,-3,1,1,1,0,0,0
Fence,1,0.5,-3,1,1,1,0,0,0
Fence,0,0.5,-3,1,1,1,0,0,0
Plane,0,0,0,10,0.1,10,0,0,0
end,,,,,,,,,
