Fence,2.93,1,3.01,1.5,1,1,0,0,0
Fence,4.43,1,3.01,1.5,1,1,0,0,0
Fence,-1.32,1,3.01,1.5,1,1,0,0,0
Fence,1.68,1,3.01,1.5,1,1,0,0,0
Fence,0.18,1,3.01,1.5,1,1,0,0,0
MagicBookWind,35,1,-5.44,1,1,1,0,0,0
Gimmick2_1,-1.25,2,4,1,1,1,0,0,0
Gimmick2,-0.5,1,1.25,1,3,1,0,0,0
Fence,2.93,1,4.98,1.5,1,1,0,0,0
Fence,4.43,1,4.98,1.5,1,1,0,0,0
Fence,-1.32,1,4.98,1.5,1,1,0,0,0
Fence,1.68,1,4.98,1.5,1,1,0,0,0
Fence,0.18,1,4.98,1.5,1,1,0,0,0
Fence,0.18,1,3.01,1.5,1,1,0,0,0
Fence,1.68,1,3.01,1.5,1,1,0,0,0
Fence,-1.32,1,3.01,1.5,1,1,0,0,0
Fence,4.43,1,3.01,1.5,1,1,0,0,0
Fence,2.93,1,3.01,1.5,1,1,0,0,0
Gimmick31,5.25,0.5,4,2.5,1,1,0,0,0
Water1,1,0.5,4,6,1,1,0,0,0
Cube,-4.75,1,4,3.6,1,1,0,0,0
Cube,33,1,-3,7,1,1,0,0,0
Gimmick1,28,1,0.6,1,1,1,0,0,0
ScoreItem,35,1,2.44,1,1,1,0,0,0
Cube,32.5,1,0.6,8,1,1,0,0,0
Cube,27,1,-0.5,1,1,8,0,0,0
Water2,-1.85,0.5,-2.15,9.3,1,1.5,0,0,0
Fence,-1.25,1,-0.96,1.5,1,1,0,0,0
Fence,-2.75,1,-0.96,1.5,1,1,0,0,0
Cube,30,1,8,15,1,1,0,0,0
Cube,-3.5,1,0,3,1,1,0,0,0
Plane,30,0,0,20,1,20,0,0,0
Fence,1.5,1,-3.4,1.5,1,1,0,0,0
Cube,-7,1,0,1,1,15,0,0,0
Fence,3,1,-3.4,1.5,1,1,0,0,0
Gimmick32,3.3,0.5,-2.18,1,1,1.5,0,0,0
Fence,-4.25,1,-3.4,1.5,1,1,0,0,0
Cube,7,1,0,1,1,15,0,0,0
Fence,-2.75,1,-3.4,1.5,1,1,0,0,0
MagicBookFire,-4.83,1,2.26,1,1,1,0,0,0
Cube,37,1,0,1,1,15,0,0,0
Player2,35,1,6,1,1,1,0,0,0
Fence,-4.25,1,-0.96,1.5,1,1,0,0,0
Fence,-5.75,1,-3.4,1.5,1,1,0,0,0
Cube,30,1,-8,15,1,1,0,0,0
Fence,0.25,1,-3.4,1.5,1,1,0,0,0
Cube,0,1,8,15,1,1,0,0,0
Cube,0,1,-8,15,1,1,0,0,0
Goal,-5.09,1,6.1,1,1,1,0,0,0
Cube,31.5,1,4,10,1,1,0,0,0
Cube,23,1,0,1,1,15,0,0,0
Fence,0.25,1,-0.96,1.5,1,1,0,0,0
Plane,0,0,0,20,1,20,0,0,0
Fence,-1.25,1,-3.4,1.5,1,1,0,0,0
Player1,-4.47,1,-5.95,1,1,1,0,0,0
MagicBookIceFog,35,1,-0.95,1,1,1,0,0,0
Fence,3,1,-0.96,1.5,1,1,0,0,0
Water2,-5.75,0.5,-0.4,1.5,1,2,0,0,0
Fence,1.5,1,-0.96,1.5,1,1,0,0,0
Cube,-2.5,1,2.5,1,1,4,0,0,0
EnemyRush1,2,0.5,2,1,1,1,0,0,0
end,,,,,,,,,
